index,Time from Pickup To arrival
0,1088.5505073966135
1,1275.214695378694
2,931.9918222608629
3,1006.9684613944155
4,1016.5150697902897
5,2093.473324880769
6,2099.5015665941914
7,1245.2915131735483
8,1595.7423750089608
9,2065.518728313377
10,1035.8841376776809
11,2610.439771541971
12,1262.170969052567
13,1531.0119567519578
14,1333.4859059521057
15,1297.9400917722373
16,679.4463960958589
17,2157.1212608023266
18,1253.7844565268522
19,541.0554168779938
20,832.5686366520739
21,1886.0503882175121
22,1317.2918248933938
23,1598.853816000841
24,433.5674927930095
25,1894.492277337804
26,468.65866585403387
27,1212.4706226438673
28,2322.5338116734233
29,1561.357309807289
30,2510.4642027193104
31,1460.2227347826963
32,2225.5748668360443
33,1135.1787805959407
34,159.05055347569146
35,1536.9231437797423
36,1437.0412001954533
37,1803.019333768726
38,1911.9433970407529
39,1238.863962508733
40,1679.2389322012273
41,1707.0863341588501
42,1792.6812106874393
43,1236.989101181353
44,951.5573011340465
45,2029.1154264142688
46,1857.4355494139077
47,2478.0141778546126
48,1377.6962103886415
49,2080.924248674706
50,1538.067499834708
51,1336.6420500604877
52,2239.630162350199
53,387.71029335695835
54,1468.2591182652768
55,1253.6775339558017
56,1453.2550134629782
57,2412.4328006854726
58,2047.8680052935547
59,1158.7009734693715
60,1395.9541498514038
61,799.7443302378665
62,849.0059619532889
63,1225.346516969851
64,1094.6934835449106
65,890.9940312585625
66,1909.0880100111435
67,1452.8243292296072
68,2033.6003723173471
69,1188.390338425992
70,916.764769628525
71,1575.4362858626635
72,2294.384400609514
73,1214.8429710341925
74,481.2236650809116
75,1959.3207516977377
76,1740.5886816747113
77,1176.4687443126986
78,2177.064104807943
79,875.3561249174807
80,1526.153693266164
81,551.8375722000133
82,2179.058850625322
83,1683.9312493922996
84,1575.659971890001
85,934.7982091624053
86,1090.8551739863146
87,2565.7035201095214
88,949.8529726669807
89,1001.6865332061625
90,1149.0860866514424
91,1519.3557344366739
92,1815.1285087426163
93,1526.5109383182664
94,1404.5623215315343
95,1397.3168844516522
96,1490.5864648637494
97,1870.039180128931
98,994.9412548198177
99,2411.1179943826996
100,2112.590738629462
101,1088.9879686127333
102,642.2615592902537
103,2212.7752182210083
104,758.5189048180373
105,1652.3381534378454
106,2388.8109378928507
107,1349.6716657325828
108,1327.5220765475974
109,2081.540653217174
110,1296.7320003986415
111,2382.442764911752
112,653.0638127339823
113,1089.1499384089448
114,1551.7992769302423
115,1590.1878705403194
116,1512.3628988767105
117,1124.7854696541517
118,1863.7238663899457
119,1576.8928384072615
120,536.4936297578696
121,1087.7536059556746
122,1524.8170318333744
123,1424.5179768029006
124,1148.0288219550907
125,663.9867988858261
126,1147.1811879845434
127,722.3590792818403
128,2066.1340102136674
129,1948.5580067781682
130,2526.9987861719387
131,673.7859274681607
132,1784.3975107085064
133,1241.9407595498365
134,1283.1192549444563
135,1528.1344438380395
136,1164.4445732750842
137,1921.6583373107612
138,1699.1637526954655
139,1774.4991839698469
140,1889.7205321140682
141,1236.1211931257596
142,1538.5870364316781
143,1487.7988234769923
144,1553.19461757521
145,1075.9334722958338
146,695.5111195496555
147,2109.8446272814026
148,1657.976025597081
149,1474.6669863989603
150,600.6618688779615
151,1134.0758910287968
152,1149.3750122789704
153,37.38646053063508
154,2587.7701323049796
155,2035.517378029827
156,805.8842152025286
157,1505.9934540652414
158,1468.774459462383
159,2333.861658199362
160,1182.7476163956594
161,824.4844487844332
162,1178.1962429706487
163,1706.4722811510685
164,1539.9624140321864
165,1060.8720509767804
166,1608.52637229104
167,1692.8485449421485
168,1302.744550704041
169,869.0767181205573
170,1461.7638109405998
171,1104.19852377625
172,1267.8236391256241
173,1158.066198182676
174,1572.364291432805
175,1333.712303333497
176,1073.4383760785945
177,1390.6963119505558
178,1568.9060910520468
179,1023.5702788230199
180,772.9748346798531
181,1485.904898337619
182,1283.374247895967
183,515.8168528963618
184,1607.7558895483726
185,1582.6479436642217
186,1403.1502903271535
187,543.0820921638788
188,1149.9474792023884
189,1221.2900512343042
190,1643.851507909985
191,1421.175953547547
192,729.4132850401012
193,1719.2026703674333
194,2133.835943385608
195,2232.488238863731
196,824.3500018406774
197,2205.852411996865
198,747.615588376997
199,1115.8760293706694
200,1951.9540661794988
201,1354.2230018765529
202,1937.1359451660467
203,1927.9809484952875
204,1628.6881881630923
205,2136.641013638859
206,1760.0929579902056
207,1991.3340019404168
208,1357.865400539009
209,1069.6876802821007
210,555.2277379865985
211,1354.8732769078824
212,1114.1310464888502
213,935.1102716133299
214,636.0081193111799
215,1158.1721471962421
216,615.8271023019124
217,1459.477379291066
218,1150.9695993519501
219,1049.7285558531944
220,1104.0134419724025
221,920.5769693015953
222,1235.0765990626992
223,1587.9966385296766
224,1727.2239411136775
225,795.4505722674406
226,1752.2392237927188
227,1820.6011352446867
228,2128.80374210514
229,1764.0318349921288
230,1138.4098578689436
231,1259.1945529506022
232,1454.5504614423803
233,1259.2292953040212
234,1401.5865645045146
235,1328.9781453569396
236,2272.129944011303
237,1231.7937668947507
238,982.8055297005102
239,472.56303476870335
240,1331.6363829588731
241,1817.0700527163046
242,1388.262760881224
243,625.8081256791481
244,691.4367993136866
245,1439.0149204043
246,1481.8876679474429
247,1595.562108819584
248,1408.5142223439398
249,2416.6671161513295
250,1388.2879293286207
251,1710.5490875545865
252,2290.9827354860304
253,2210.8366755059906
254,1297.986938415395
255,1911.3358172615299
256,1066.477353341606
257,1044.2973337424278
258,960.0934638523198
259,1800.195137899723
260,775.6267936910064
261,1447.8762330748586
262,1095.4537613984398
263,2256.5766979572654
264,1276.7830578776302
265,1095.4860948838136
266,1144.4959431540747
267,730.5606557399898
268,965.6727360367859
269,2287.9591504262903
270,140.48496318526054
271,1314.4235146672406
272,2102.828062842094
273,1013.3649966756569
274,770.5026451210907
275,1279.0827745864922
276,1926.7473794590817
277,1989.8897560509397
278,1205.1309056225946
279,2151.9907233483623
280,1785.9047399424176
281,1010.8642604131338
282,1080.434633049462
283,2225.3104178767635
284,1045.2509825984885
